id,reputation
"636","14523"
"672","56405"
"720","54556"
"729","7661"
"731","1100"
"736","47314"
"741","1593"
"775","13958"
"856","1054"
"900","26387"
"906","9576"
"937","6561"
"943","13100"
"947","1853"
"959","3912"
"988","5611"
"1013","6508"
"1024","1810"
"1026","30181"
"1031","6676"
"1067","1122"
"1078","22467"
"1131","3836"
"1157","2214"
"1190","63183"
"1199","226198"
"1249","34866"
"1278","30324"
"1288","392426"
"1328","3734"
"1338","82257"
"1343","73386"
"1346","2308"
"1349","8299"
"1363","15881"
"1369","15128"
"1396","1683"
"1418","1741"
"1425","2473"
"1431","32803"
"1450","112027"
"1454","9030"
"1467","6978"
"1527","48349"
"1532","10327"
"1536","2641"
"1554","66390"
"10802499","8599"
"10802527","5976"
"10802569","1247"
"5473","3461"
"5486","200275"
"5536","66052"
"5542","47845"
"5552","6751"
"5573","1488"
"5618","20633"
"5620","34974"
"5651","72459"
"5662","12843"
"5678","4582"
"5691","3170"
"5731","66846"
"5752","10004"
"5754","3967"
"5769","33011"
"5782","4990"
"5791","26340"
"5806","12908"
"5809","2243"
"5819","5602"
"5822","17305"
"5834","19146"
"5921","32165"
"5968","1861"
"5981","25072"
"5984","6210"
"5987","292610"
"5988","2028"
"5999","2965"
"6001","1318"
"6009","3892"
"6013","25816"
"6033","11085"
"6053","2568"
"6083","15362"
"6095","1928"
"6109","2664"
"6144","61537"
"6156","1121"
"6160","13462"
"6164","1994"
"6212","38539"
"6216","33882"
"6244","10827"
"6260","24286"
"6262","7652"
"6264","33727"
"6309","1172922"
"6311","1901"
"6342","1139"
"6345","24551"
"6364","15337"
"6399","16891"
"6400","7784"
"6409","2061"
"6419","2247"
"6421","5187"
"6436","3265"
"6448","16013"
"6449","5485"
"6489","1534"
"6491","80902"
"6509","164014"
"6528","1764"
"6540","11374"
"6547","3984"
"5806009","1443"
"5806203","1729"
"9707","5973"
"9711","12540"
"9823","7541"
"9832","4514"
"9859","85618"
"9900","10747"
"9910","1468"
"9913","16284"
"9922","44780"
"9937","1587"
"9941","2618"
"9950","11986"
"9967","6006"
"10002","1104"
"10026","14574"
"10077","59942"
"10115","5378"
"10116","8422"
"10119","4640"
"10138","12990"
"10141","30502"
"10192","3671"
"10238","35528"
"10245","10594"
"10259","16897"
"10263","122072"
"10272","7433"
"10286","17953"
"10396","34201"
"10397","223978"
"10431","43046"
"10446","2192"
"10474","8760"
"10478","1327"
"10486","2532"
"10508","13556"
"10527","35943"
"10537","1935"
"10577","7374"
"10583","47079"
"10589","8668"
"10639","15875"
"10659","8857"
"10715","20534"
"10762","3501"
"10793","5543"
"10830","4938"
"10840","9791"
"10888","13352"
"10906","8679"
"10941","5287"
"10947","80168"
"10973","15866"
"10980","4327"
"11002","8906"
"11015","15713"
"11047","13816"
"11063","3022"
"11123","107387"
"11125","31556"
"11137","6194"
"11181","12108"
"11182","57991"
"11185","1311"
"11191","1500"
"11197","16953"
"12702","5052"
"12704","23103"
"12711","327584"
"12716","54682"
"12752","47653"
"12784","4184"
"12815","1940"
"12845","9356"
"12860","14506"
"12870","231981"
"12875","9729"
"12887","15084"
"12890","19638"
"12895","15339"
"12897","2966"
"12915","5019"
"12982","4897"
"12999","3112"
"13000","37923"
"13019","14606"
"13022","19096"
"13030","4600"
"13051","62335"
"13055","100500"
"13065","2028"
"13070","169043"
"13087","119968"
"13099","1887"
"13118","17050"
"13154","66065"
"13169","30695"
"13216","19567"
"13249","616724"
"13257","23049"
"13262","3923"
"13271","5873"
"13285","8853"
"13302","717558"
"13317","21840"
"13356","30713"
"13368","3923"
"13433","19014"
"13442","15502"
"13447","46048"
"13495","3587"
"13508","138236"
"13531","186225"
"13556","2144"
"13564","30543"
"13603","5745"
"13627","158947"
"13663","113533"
"13675","7395"
"13687","23670"
"13744","50821"
"13803","7816"
"13824","14464"
"13828","4526"
"13913","133814"
"13924","47655"
"14007","20720"
"14027","4919"
"14047","1475"
"14057","14583"
"14065","251370"
"14075","4508"
"5808504","3914"
"10808498","1095"
"10808802","5315"
"10811516","1467"
"10811956","2046"
"5810852","3963"
"5810950","7888"
"5811078","26740"
"20925","1596"
"20941","4226"
"20957","7283"
"20961","3503"
"20977","20076"
"21009","2672"
"21047","5434"
"21115","16346"
"21145","2274"
"21155","12432"
"21255","1567"
"21336","36488"
"21339","12141"
"21348","6060"
"21353","14034"
"21365","10173"
"21367","3751"
"21406","20351"
"21426","3690"
"21429","3663"
"21435","3625"
"21482","17581"
"21501","24469"
"21539","23154"
"21566","10735"
"21698","24261"
"21784","4030"
"21788","2036"
"21804","5288"
"21906","1150"
"21926","116811"
"21974","48913"
"22046","4244"
"22083","1440"
"22107","22375"
"22113","1425"
"22147","33637"
"22184","7167"
"22247","17072"
"22309","1194"
"22364","85076"
"22365","2559"
"22368","12963"
"22399","9111"
"22417","10675"
"22437","21260"
"22445","16051"
"22470","39940"
"22483","36239"
"22528","3232"
"22569","2138"
"22582","2891"
"22656","1371915"
"22702","25147"
"22769","4147"
"22837","1905"
"22904","14918"
"22913","2863"
"22982","53824"
"25174","4979"
"25182","1794"
"25197","20823"
"25216","43305"
"25240","1023"
"25318","5498"
"25358","6502"
"25406","4514"
"25412","10133"
"25427","11869"
"25457","10572"
"25507","53462"
"25586","2551"
"25612","1550"
"25646","162008"
"25720","1424"
"25737","10408"
"25847","95239"
"25868","9708"
"25888","2003"
"25891","16632"
"25961","2846"
"5800846","1290"
"5801049","1048"
"5801208","2316"
"5801661","39872"
"2443","90028"
"2450","7384"
"2454","5021"
"2472","4707"
"2492","2761"
"2494","18147"
"2495","12714"
"2514","2723"
"2517","11326"
"2581","5867"
"2582","3993"
"2592","13960"
"2608","10489"
"2610","4061"
"2652","5379"
"2659","3993"
"2669","1631"
"2679","5784"
"2695","50255"
"2710","2066"
"2715","2808"
"2721","6048"
"2723","9249"
"2732","3750"
"2733","16658"
"2749","13737"
"2753","3596"
"2773","2221"
"2797","16383"
"2811","28903"
"2819","7897"
"2822","7411"
"2831","5746"
"2894","11344"
"2902","10292"
"2910","1227"
"2935","3197"
"2973","19445"
"2988","357206"
"2998","51172"
"3023","3305"
"3043","388266"
"3044","8308"
"3046","8058"
"3047","10393"
"3114","9017"
"3121","8194"
"3161","4225"
"3263","27728"
"3280","8013"
"3283","3455"
"3284","8027"
"3295","49125"
"3312","19665"
"3335","3725"
"3381","40171"
"3414","3077"
"3419","3325"
"3442","7005"
"3467","10687"
"3474","261904"
"3493","4064"
"3501","94580"
"3509","29070"
"3512","2129"
"3552","3124"
"3565","15178"
"3571","95767"
"3584","27692"
"3603","82133"
"3641","6197"
"3657","2277"
"3661","25482"
"3719","10107"
"3736","7702"
"3751","5139"
"3769","8957"
"3778","8593"
"3788","18299"
"3797","19323"
"3798","33152"
"3820","69560"
"3827","93771"
"3834","80522"
"3842","5345"
"3848","107958"
"3853","16425"
"3856","4044"
"3879","1936"
"3937","86828"
"3963","10090"
"3997","4230"
"4037","5076"
"4038","13906"
"4055","18722"
"4059","4813"
"4086","97511"
"4093","2812"
"4118","5188"
"4166","7753"
"4200","34328"
"4243","22730"
"4265","4925"
"4275","1354"
"4279","386267"
"4281","6267"
"4308","12109"
"4321","49877"
"5805150","8345"
"8086","1971"
"8090","23591"
"8116","22690"
"8127","12911"
"8131","6724"
"8155","106610"
"8159","5734"
"8171","1737"
"8206","255171"
"8236","37586"
"8239","3330"
"8313","21216"
"8331","53060"
"8338","11831"
"8421","1056"
"8438","14169"
"8446","87296"
"8454","89332"
"8484","8586"
"8513","2935"
"8581","1491"
"8597","4706"
"8621","4300"
"8649","1361"
"8674","3048"
"8681","17871"
"8707","46786"
"8747","158683"
"8761","4392"
"8792","6344"
"8799","19905"
"8802","1967"
"8820","9774"
"8825","21996"
"8831","5450"
"8922","66523"
"8935","4648"
"8945","11473"
"8946","62171"
"8959","8177"
"9079","2040"
"9117","6928"
"9122","57463"
"9204","163591"
"9222","4730"
"9266","43754"
"9275","7708"
"9279","6253"
"9292","2548"
"9344","7088"
"9382","57910"
"9422","2892"
"9424","1862"
"9443","11526"
"9449","2077"
"9493","114905"
"9536","40288"
"9540","2079"
"9585","4760"
"9604","11092"
"9622","3361"
"9648","12400"
"9664","36595"
"9706","16715"
"5808727","5933"
"5808894","7439"
"5809144","1358"
"10809912","1147"
"17712","14395"
"17744","109323"
"17772","9042"
"17833","89090"
"17873","1109"
"17891","1657"
"17896","18280"
"17911","9126"
"17919","13622"
"17967","4758"
"17971","9482"
"18027","11277"
"18096","2913"
"18102","2838"
"18128","1903"
"18157","84642"
"18169","1231"
"18189","14298"
"18202","1151"
"18208","2924"
"18243","47316"
"18321","1153"
"18388","1155"
"18480","4562"
"18529","43450"
"18565","39379"
"18603","2735"
"18625","4242"
"18627","71258"
"18642","5107"
"18645","6096"
"18771","326755"
"18804","33813"
"18818","8146"
"18865","3569"
"18891","9769"
"18914","44688"
"18938","11347"
"18942","2586"
"18992","8443"
"19024","2419"
"19068","884558"
"19072","3719"
"19079","2299"
"19093","14106"
"19100","17827"
"19112","39678"
"19165","27728"
"19172","3402"
"19174","3484"
"19183","14983"
"19246","11702"
"19252","8674"
"19254","7771"
"19255","5348"
"5812238","5763"
"22996","65597"
"23018","1590"
"23028","24835"
"23034","6986"
"23056","8985"
"23118","25260"
"23199","96948"
"23213","1384"
"23235","13073"
"23252","17050"
"23264","28600"
"23283","717555"
"23309","17229"
"23324","11805"
"23341","31548"
"23354","998406"
"23368","69995"
"23369","3166"
"23388","22641"
"23427","23276"
"23457","4469"
"23468","2785"
"23478","40372"
"23501","135188"
"23528","184209"
"23567","30030"
"23574","32834"
"23584","2226"
"23597","1980"
"23633","26763"
"23643","80604"
"23649","113305"
"23666","11558"
"23715","6275"
"23732","10309"
"23746","5815"
"23771","39627"
"23810","20592"
"23850","9416"
"23852","32878"
"23915","18297"
"23934","27939"
"23972","3989"
"23999","3869"
"24010","14002"
"24039","77011"
"24054","101870"
"24069","4637"
"24108","14507"
"24172","5539"
"24184","1507"
"24190","4273"
"24215","12704"
"24290","1520"
"24334","1686"
"24481","3801"
"24495","1213"
"24628","2332"
"24638","2415"
"24681","1328"
"24696","4580"
"24707","2404"
"24717","3847"
"24718","40741"
"24730","3347"
"24734","2386"
"24773","4606"
"24839","1543"
"24874","291766"
"24875","3851"
"25071","26207"
"25122","34521"
"35690","82935"
"35794","1140"
"35812","6238"
"35946","2636"
"35958","7063"
"36047","8985"
"36071","10069"
"36131","9427"
"36170","1962"
"36174","2361"
"36228","1625"
"36253","3345"
"36272","32222"
"36305","238045"
"36307","17338"
"36308","2095"
"36388","28375"
"36433","52147"
"36464","34254"
"36474","10577"
"36498","18401"
"36510","6191"
"36546","10091"
"36737","12325"
"36746","2533"
"36777","1177"
"36782","1500"
"36866","47215"
"36896","8927"
"36902","7724"
"36925","2285"
"5800158","2060"
"1591","10522"
"1600","19036"
"1611","1406"
"1626","13555"
"1646","2111"
"1654","7325"
"1667","8325"
"1697","11870"
"1701","4562"
"1702","20552"
"1708","1090"
"1712","8153"
"1714","7471"
"1736","17449"
"1737","65608"
"1738","12431"
"1740","11122"
"1743","1276"
"1754","2807"
"1810","26911"
"1815","1865"
"1816","45507"
"1831","122600"
"1869","19578"
"1882","24902"
"1898","68473"
"1900","8361"
"1907","4065"
"1913","1781"
"1934","8704"
"1935","2313"
"1944","19454"
"1968","517212"
"1969","8347"
"1980","8210"
"1982","3871"
"1992","12423"
"1996","10738"
"2041","8703"
"2069","14141"
"2097","2204"
"2098","10511"
"2132","8498"
"2168","14486"
"2172","71297"
"2177","9184"
"2199","83834"
"2214","100253"
"2235","3178"
"2246","39926"
"2281","6482"
"2283","16548"
"2284","26962"
"2287","40382"
"2291","24005"
"2351","5330"
"10800642","1102"
"10801086","1867"
"10801098","1385"
"10803671","3825"
"5803824","1275"
"5803973","3754"
"6563","2757"
"6583","37511"
"6610","40187"
"6645","7094"
"6671","1467"
"6678","13796"
"6682","35602"
"6694","85129"
"6713","7708"
"6742","50811"
"6755","6336"
"6756","3315"
"6777","5744"
"6782","330080"
"6822","4556"
"6852","4787"
"6899","89911"
"6962","15392"
"6977","5666"
"7008","5872"
"7012","49894"
"7021","27939"
"7024","3896"
"7028","30141"
"7032","4309"
"7055","2992"
"7093","14811"
"7122","42226"
"7129","2063"
"7135","1232"
"7141","8026"
"7186","13368"
"7218","4348"
"7223","1881"
"7224","6297"
"7226","6369"
"7233","2370"
"7293","1842"
"7295","3895"
"7297","4303"
"7399","6804"
"7405","6441"
"7426","40154"
"7432","354570"
"7442","4307"
"7446","27945"
"7453","8250"
"7495","6731"
"7498","47236"
"7511","1950"
"7518","3573"
"7536","38388"
"7552","231840"
"7581","28375"
"7586","132854"
"7625","25416"
"7641","4843"
"7647","8227"
"7648","9634"
"7649","1141"
"7650","12981"
"7672","8218"
"7674","2518"
"7720","13563"
"7734","27754"
"7834","13951"
"7850","35911"
"7856","31287"
"7862","31007"
"7979","14223"
"7980","18443"
"7985","2101"
"8014","23567"
"8080","2517"
"14104","200101"
"14105","1941"
"14106","1658"
"14122","268218"
"14131","22314"
"14139","28674"
"14256","28082"
"14275","1896"
"14343","354520"
"14357","114679"
"14419","61909"
"14431","1614"
"14467","10401"
"14484","27179"
"14495","1462"
"14528","1716"
"14533","9761"
"14537","13982"
"14540","12402"
"14570","23429"
"14582","14054"
"14607","1330"
"14619","13456"
"14637","169263"
"14660","146568"
"14663","23345"
"14673","16122"
"14690","58578"
"14728","5029"
"14731","83737"
"14732","3290"
"14744","39141"
"14768","39411"
"14777","33500"
"14860","832214"
"14870","6709"
"14934","2381"
"14971","36467"
"15165","1807"
"15168","713366"
"15244","2211"
"15275","20814"
"15329","17668"
"15371","25096"
"15396","1582"
"15441","33732"
"15472","17287"
"15485","17597"
"15498","231016"
"15515","1158"
"15519","2924"
"15526","2135"
"15529","4483"
"15537","124535"
"15622","53678"
"15625","33377"
"15626","1652"
"15637","2333"
"15647","7704"
"15656","2304"
"15682","79757"
"15683","1345"
"15695","10632"
"15697","17293"
"15727","26772"
"15754","15265"
"15788","1264"
"15809","120071"
"15862","21591"
"15880","86052"
"15890","6545"
"15934","31479"
"15937","1975"
