reputation,answers
6766,"[[11, 1, 139], [25, 3, 336], [84, 3, 252], [54, 3, 359], [216, 8, 296], [111, 5, 269]]"
6766,"[[11, 1, 139], [25, 3, 336], [84, 3, 252], [54, 3, 359], [216, 8, 296], [111, 5, 269]]"
6766,"[[11, 1, 139], [25, 3, 336], [84, 3, 252], [54, 3, 359], [216, 8, 296], [111, 5, 269]]"
56603,"[[15, 3, 818]]"
499896,"[[32, 0, 305], [78, 4, 643]]"
78552,"[[11, 0, 1460], [14, 0, 1223], [14, 0, 1047]]"
14132,"[[13, 0, 1772], [54, 4, 1420], [26, 0, 620], [40, 3, 620], [579, 3, 503], [20, 5, 486], [13, 1, 612], [53, 9, 615]]"
86723,"[[12, 3, 293]]"
6766,"[[11, 1, 139], [25, 3, 336], [84, 3, 252], [54, 3, 359], [216, 8, 296], [111, 5, 269]]"
56603,"[[15, 3, 818]]"
499896,"[[32, 0, 305], [78, 4, 643]]"
78552,"[[11, 0, 1460], [14, 0, 1223], [14, 0, 1047]]"
14132,"[[13, 0, 1772], [54, 4, 1420], [26, 0, 620], [40, 3, 620], [579, 3, 503], [20, 5, 486], [13, 1, 612], [53, 9, 615]]"
86723,"[[12, 3, 293]]"
229973,"[[24, 7, 360]]"
22300,"[[12, 0, 284]]"
17779,"[[13, 0, 658], [48, 3, 923]]"
36524,"[[11, 1, 393]]"
35423,"[[23, 1, 1781], [13, 2, 329]]"
43036,"[[14, 0, 3183]]"
15703,"[[17, 1, 554]]"
57953,"[[59, 11, 795], [16, 0, 434]]"
83318,"[[38, 8, 854]]"
6163,"[[26, 0, 2782]]"
1043,"[[24, 2, 562], [11, 2, 241]]"
27656,"[[27, 2, 8229]]"
93811,"[[23, 1, 2701]]"
88980,"[[11, 1, 424]]"
47286,"[[30, 4, 375]]"
184102,"[[61, 3, 530], [11, 2, 167]]"
26738,"[[26, 4, 1022]]"
130112,"[[13, 2, 854], [13, 1, 475]]"
3934,"[[12, 6, 1195]]"
3724,"[[57, 12, 3936], [16, 0, 936]]"
82135,"[[21, 0, 254]]"
48319,"[[26, 2, 966]]"
12462,"[[16, 5, 632]]"
4459,"[[32, 5, 207], [11, 1, 627]]"
26891,"[[13, 6, 1024]]"
122550,"[[15, 0, 3095]]"
24777,"[[25, 10, 2051], [12, 2, 211]]"
37561,"[[17, 2, 3970], [18, 1, 4356]]"
7545,"[[18, 0, 762]]"
1042,"[[20, 6, 1361]]"
1033,"[[90, 6, 1145]]"
1810,"[[12, 0, 2820]]"
292365,"[[11, 10, 1089]]"
8217,"[[24, 3, 558], [38, 6, 324]]"
4078,"[[15, 3, 1311]]"
24540,"[[16, 2, 1002]]"
15742,"[[39, 2, 320], [11, 0, 566]]"
239632,"[[25, 5, 5650], [31, 4, 473], [14, 1, 3731]]"
5408,"[[17, 0, 582]]"
37923,"[[15, 0, 729]]"
168653,"[[13, 1, 3263], [12, 0, 325], [47, 1, 434], [12, 2, 1227], [15, 5, 963], [24, 0, 456], [13, 3, 903]]"
