reputation,answers
1371915,"[[1, 0, 1966], [5, 0, 1160], [6, 0, 1334], [5, 3, 3197], [5, 2, 936], [3, 0, 1481]]"
1172922,"[[1, 1, 578], [0, 0, 1114], [0, 0, 612], [0, 0, 501], [2, 2, 381], [0, 0, 2039], [1, 10, 621], [0, 1, 754], [1, 0, 791], [2, 0, 1060], [0, 4, 548], [0, 0, 1414], [0, 0, 1367], [0, 0, 1571], [0, 0, 5367], [0, 0, 1151], [0, 0, 903], [0, 0, 1045], [0, 0, 732], [0, 2, 449], [0, 0, 434], [0, 0, 1274], [0, 0, 1916], [0, 0, 1461], [0, 0, 968], [0, 0, 1392], [3, 5, 976], [2, 5, 855], [1, 14, 1695], [0, 0, 753], [0, 1, 822], [0, 0, 1074], [1, 0, 624], [0, 12, 771], [0, 3, 1144], [1, 0, 357], [1, 0, 799], [0, 2, 406], [2, 1, 530], [0, 0, 766], [0, 0, 1390], [0, 0, 680], [1, 2, 1846], [0, 2, 1621], [1, 0, 1230], [0, 0, 1023], [1, 4, 463], [0, 0, 458], [0, 0, 542], [0, 0, 364], [-1, 1, 3049], [0, 0, 1649], [1, 0, 608], [0, 0, 1100], [0, 0, 461], [1, 9, 1300], [1, 0, 405], [0, 0, 704], [0, 0, 569], [0, 2, 607], [0, 0, 664], [0, 0, 594], [1, 0, 1411], [1, 5, 891], [0, 2, 1114], [0, 0, 1189], [0, 0, 340], [0, 0, 334], [0, 0, 725]]"
999554,"[[2, 0, 2913], [4, 2, 1550], [3, 2, 7587], [2, 0, 5851], [9, 3, 3966], [1, 1, 3235], [5, 9, 4153], [3, 0, 2798], [3, 0, 3639], [2, 0, 4037]]"
998406,"[[1, 9, 1270], [1, 0, 1196], [1, 1, 798]]"
994252,"[[4, 0, 1685], [2, 0, 1429], [1, 0, 6850], [1, 1, 1294], [1, 0, 1054], [1, 1, 1786], [7, 3, 6020], [1, 0, 1123], [1, 4, 596], [1, 2, 3827], [4, 5, 4231], [2, 0, 5490], [1, 1, 812], [3, 1, 5732], [1, 2, 1047], [1, 0, 1970], [0, 0, 3192], [1, 0, 3032], [1, 0, 1220], [0, 0, 11923]]"
969909,"[[1, 6, 939], [0, 0, 1334], [0, 2, 1181]]"
884558,"[[3, 3, 350], [1, 1, 633], [2, 3, 341], [0, 2, 588], [1, 1, 649], [1, 1, 1258], [2, 0, 513], [-1, 0, 798], [0, 1, 441], [1, 1, 1080], [1, 0, 546], [4, 0, 764], [1, 3, 599], [0, 0, 1183], [3, 9, 430], [2, 0, 620], [1, 0, 711], [-1, 1, 881], [4, 15, 1308], [0, 0, 863], [1, 2, 1035], [3, 1, 962], [0, 0, 617], [3, 0, 999], [3, 1, 887], [2, 11, 219], [1, 1, 413], [0, 0, 359], [0, 0, 458]]"
835013,"[[3, 4, 698], [1, 0, 330], [2, 1, 2290], [1, 0, 279], [1, 0, 250], [1, 0, 580], [3, 0, 599], [1, 0, 175], [0, 0, 376], [1, 3, 2066], [1, 0, 509], [3, 0, 398], [2, 1, 3023], [1, 1, 852], [0, 0, 618], [2, 0, 107], [0, 0, 829], [2, 1, 837], [5, 1, 988], [3, 0, 1443], [3, 5, 255], [2, 0, 948], [2, 0, 740], [0, 1, 393], [2, 0, 716], [0, 1, 990], [2, 0, 805], [1, 0, 947], [0, 6, 1347], [1, 1, 2393], [3, 0, 271], [2, 2, 829], [0, 0, 387], [1, 0, 1196], [1, 1, 1240], [0, 2, 597], [3, 0, 761], [3, 0, 1145], [3, 0, 221], [3, 0, 589], [2, 0, 961], [2, 9, 1220], [1, 0, 295], [1, 2, 273], [3, 0, 186], [2, 0, 364], [1, 0, 619], [2, 0, 1538], [3, 0, 1290], [2, 2, 398], [1, 5, 866], [1, 4, 1629], [3, 1, 527], [1, 2, 966], [3, 0, 223], [1, 0, 389], [1, 0, 422], [3, 0, 218], [1, 0, 185], [1, 0, 281], [2, 3, 744], [1, 0, 778], [1, 0, 308], [1, 0, 552], [2, 0, 1415], [2, 1, 887], [1, 1, 103], [1, 0, 1405], [3, 7, 574], [0, 0, 519], [1, 0, 486], [1, 0, 463], [2, 0, 1068], [1, 2, 565]]"
832214,"[[0, 1, 1437], [0, 0, 1675], [8, 4, 4338]]"
774685,"[[3, 0, 1286], [1, 2, 890], [1, 3, 1020], [0, 0, 1036], [1, 1, 301], [1, 9, 877], [1, 0, 260], [2, 0, 3836], [3, 2, 2148], [1, 0, 486], [1, 4, 517], [1, 1, 1442], [1, 0, 860], [0, 15, 1791], [0, 2, 627], [3, 0, 1009], [2, 0, 1328], [1, 0, 1509], [1, 8, 735], [1, 0, 1028], [0, 3, 930], [1, 5, 1093], [0, 0, 2115], [1, 0, 604], [0, 0, 574], [1, 0, 782], [0, 1, 1783], [1, 0, 925], [2, 2, 1307], [1, 0, 1323], [1, 0, 986], [1, 2, 581], [2, 0, 1108], [1, 0, 268], [1, 2, 577], [1, 1, 301], [2, 3, 1863], [0, 0, 993], [1, 3, 1682], [2, 0, 419], [1, 2, 1805], [1, 0, 923], [0, 0, 1370], [0, 0, 728], [1, 9, 839], [4, 0, 589], [1, 1, 718], [2, 0, 692], [1, 8, 1957], [2, 0, 397], [1, 8, 414], [0, 0, 233], [1, 1, 1241], [1, 0, 349], [0, 1, 993], [0, 0, 813], [1, 4, 1388], [1, 0, 650], [1, 0, 506], [1, 7, 1777], [0, 0, 405], [2, 0, 2067], [2, 18, 1669], [-1, 1, 734], [1, 0, 700], [1, 0, 330], [2, 0, 888], [0, 0, 427], [0, 0, 446], [2, 6, 1573], [4, 0, 1188], [2, 0, 1985], [2, 0, 1582], [0, 1, 1021], [1, 0, 1163], [2, 0, 905], [1, 5, 1498], [1, 12, 2604], [0, 2, 827], [2, 6, 719], [0, 0, 1991], [0, 0, 374], [0, 2, 314], [2, 7, 3045], [0, 7, 1668], [0, 0, 806], [1, 0, 1093], [1, 0, 262]]"
